day;hour;wind_dir;speed;temp;details;scenario;radiation;precip
04/01/2016;09h00;144;3.9;16.8;mesure;S2;54;0
04/01/2016;09h15;123;3.1;17.3;mesure;S2;50;0
04/01/2016;09h30;152;3.5;17.6;mesure;S2;68;0
04/01/2016;09h45;154;4.4;17.9;mesure;S1;81;0
04/01/2016;10h00;156;3.8;18.1;mesure;S2;124;0
04/01/2016;10h15;162;3.5;18.6;mesure;S2;173;0
04/01/2016;10h30;172;3.4;19;mesure;S2;291;0
04/01/2016;10h45;170;3.8;19.3;mesure;S2;213;0
04/01/2016;11h00;169;3.7;19.6;mesure;S2;226;0
04/01/2016;11h15;198;3.7;19.8;mesure;S2;251;0
04/01/2016;11h30;237;4;20;mesure;S1;430;0
04/01/2016;11h45;233;3.3;20.2;mesure;S2;446;0
04/01/2016;12h00;233;3.8;20.3;mesure;S2;350;0
04/01/2016;12h15;240;4.3;20.1;mesure;S1;345;0
04/01/2016;12h30;245;4.2;19.8;mesure;S1;296;0
04/01/2016;12h45;241;4.1;19.5;mesure;S1;213;0
04/01/2016;13h00;247;3.9;19.8;mesure;S2;315;0
04/01/2016;13h15;244;4.4;19.8;mesure;S1;245;0
04/01/2016;13h30;242;4.7;19.3;mesure;S1;389;0
04/01/2016;13h45;262;5.1;18.9;mesure;S1;263;0
04/01/2016;14h00;238;5.2;18.1;mesure;S1;252;0
04/01/2016;14h15;240;4.3;18.3;mesure;S1;166;0
04/01/2016;14h30;245;3.7;18.3;mesure;S2;244;0
04/01/2016;14h45;244;3.4;18.4;mesure;S2;248;0
04/01/2016;15h00;233;4;18.3;mesure;S1;211;0
04/01/2016;15h15;219;3.6;18.2;mesure;S2;184;0
04/01/2016;15h30;226;2.8;18.2;mesure;S2;141;0
04/01/2016;15h45;220;3.6;18.1;mesure;S2;116;0
04/01/2016;16h00;231;4;18;mesure;S1;62;0
04/01/2016;16h15;246;3.9;17.8;mesure;S2;83;0
04/01/2016;16h30;258;3.6;17.7;mesure;S2;57;0
04/01/2016;16h45;262;3.7;17.7;mesure;S2;46;0
04/01/2016;17h00;273;3.7;17.4;mesure;S2;19;0
04/01/2016;17h15;276;2.6;17.1;mesure;S2;6;1.6
04/01/2016;17h30;271;3.5;17.1;mesure;S2;7;0
04/01/2016;17h45;265;4.4;17;mesure;S1;3;0
04/01/2016;18h00;234;4.6;16.8;mesure;S1;1;1.6
04/01/2016;18h15;234;4.5;16.8;mesure;S1;0;4.8
04/01/2016;18h30;236;3.9;16.8;mesure;S2;0;0
04/01/2016;18h45;202;3.3;16.7;mesure;S2;0;0
04/01/2016;19h00;204;3;16.8;mesure;S2;0;0
04/01/2016;19h15;176;3.3;16.8;mesure;S2;0;0
04/01/2016;19h30;208;2.8;16.8;mesure;S2;0;1.6
04/01/2016;19h45;183;2.7;16.8;mesure;S2;0;0
04/01/2016;20h00;203;2.5;16.8;mesure;S2;0;0
04/01/2016;20h15;203;4.3;16.8;mesure;S1;0;0
